id,topicID,groupID,time,user,parent,numChildren,chars_total,textchars,images
10001,119186,5001,2017-07-27T10:28:18+00:00,1001,,0,1164,1073,0
10002,119186,5001,2017-07-27T10:57:39+00:00,1001,,0,1051,976,0
10003,119186,5001,2017-07-27T14:38:11+00:00,1002,,0,900,790,0
10004,119186,5001,2017-07-27T14:41:42+00:00,1002,,1,686,585,0
10005,119186,5001,2017-08-02T03:05:12+00:00,1003,10004,0,205,118,0
10006,119186,5001,2017-07-27T21:45:13+00:00,1003,,0,917,828,0
10007,119186,5001,2017-07-27T22:31:30+00:00,1004,,0,628,580,0
10008,119186,5001,2017-07-27T22:33:38+00:00,1004,,0,1236,1161,0
10009,119186,5001,2017-07-27T23:44:01+00:00,1003,,0,681,544,0
10010,119186,5001,2017-07-28T00:45:27+00:00,1005,,0,545,457,0
10011,119186,5001,2017-07-28T01:02:35+00:00,1005,,0,890,767,0
10012,119186,5001,2017-07-28T01:09:54+00:00,1006,,1,1262,948,0
10013,119186,5001,2017-08-04T18:54:47+00:00,1002,10012,0,152,68,0
10014,119186,5001,2017-07-28T01:10:09+00:00,1006,,1,653,579,0
10015,119186,5001,2017-07-31T01:41:27+00:00,1001,10014,0,272,178,0
10016,119186,5001,2017-07-28T01:31:00+00:00,1007,,0,1067,962,0
10017,119186,5001,2017-07-28T01:32:15+00:00,1007,,0,992,967,0
10018,119186,5001,2017-07-28T02:04:06+00:00,1008,,1,502,370,0
10019,119186,5001,2017-08-02T03:03:37+00:00,1003,10018,0,253,152,0
10020,119186,5002,2017-07-27T12:15:18+00:00,1009,,0,912,814,0
10021,119186,5002,2017-07-27T17:05:22+00:00,1010,,2,3029,2629,0
10022,119186,5002,2017-08-02T22:05:34+00:00,1011,10021,0,163,110,0
10023,119186,5002,2017-08-04T00:47:27+00:00,1012,10021,0,187,148,0
10024,119186,5002,2017-07-27T19:07:40+00:00,1013,,1,881,852,0
10025,119186,5002,2017-07-29T22:20:11+00:00,1014,10024,1,260,224,0
10026,119186,5002,2017-08-05T20:32:37+00:00,1013,10025,0,233,202,0
10027,119186,5002,2017-07-27T19:17:42+00:00,1013,,2,608,522,0
10028,119186,5002,2017-07-29T22:32:50+00:00,1014,10027,1,248,171,0
10030,119186,5002,2017-08-05T20:35:46+00:00,1013,10028,0,251,193,0
10029,119186,5002,2017-08-05T19:58:55+00:00,1015,10027,0,352,270,0
10031,119186,5002,2017-07-27T20:18:41+00:00,1015,,2,1401,1282,0
10032,119186,5002,2017-07-29T22:29:15+00:00,1014,10031,0,312,272,0
10033,119186,5002,2017-07-30T01:30:55+00:00,1010,10031,1,293,214,0
10034,119186,5002,2017-07-30T19:07:05+00:00,1015,10033,0,179,129,0
10035,119186,5002,2017-07-27T20:53:38+00:00,1015,,0,996,882,0
10036,119186,5002,2017-07-27T23:25:49+00:00,1012,,3,1162,1064,0
10037,119186,5002,2017-07-30T02:54:39+00:00,1010,10036,0,469,438,0
10038,119186,5002,2017-07-30T11:11:26+00:00,1009,10036,1,242,216,0
10040,119186,5002,2017-08-04T00:37:26+00:00,1012,10038,0,447,347,0
10039,119186,5002,2017-08-05T20:39:32+00:00,1013,10036,0,417,342,0
10041,119186,5002,2017-07-28T00:41:34+00:00,1012,,0,1949,1738,0
10042,119186,5002,2017-07-28T00:51:12+00:00,1014,,1,714,621,0
10043,119186,5002,2017-07-30T02:21:26+00:00,1010,10042,0,161,115,0
10044,119186,5002,2017-07-28T00:56:36+00:00,1009,,0,735,633,0
10045,119186,5002,2017-07-28T01:36:26+00:00,1014,,1,657,598,0
10046,119186,5002,2017-07-30T02:20:47+00:00,1010,10045,0,210,135,0
10047,119186,5002,2017-08-02T18:11:42+00:00,1016,,1,2082,1814,0
10048,119186,5002,2017-08-02T22:13:18+00:00,1011,10047,0,313,259,0
10049,119186,5002,2017-08-02T21:58:10+00:00,1011,,1,2118,1931,0
10050,119186,5002,2017-08-04T00:56:13+00:00,1012,10049,0,456,355,0
10051,119186,5002,2017-08-02T22:00:25+00:00,1011,,0,1967,1461,0
10052,119186,5003,2017-07-26T12:36:22+00:00,1017,,2,547,453,0
10053,119186,5003,2017-07-27T18:46:59+00:00,1018,10052,0,281,231,0
10054,119186,5003,2017-07-28T15:29:11+00:00,1019,10052,0,371,265,0
10055,119186,5003,2017-07-26T12:47:47+00:00,1017,,0,587,546,0
10056,119186,5003,2017-07-27T00:05:18+00:00,1020,,1,464,406,0
10057,119186,5003,2017-07-27T13:33:25+00:00,1017,10056,0,234,177,0
10058,119186,5003,2017-07-27T00:23:20+00:00,1020,,1,590,496,0
10059,119186,5003,2017-07-27T18:45:45+00:00,1018,10058,0,247,156,0
10060,119186,5003,2017-07-27T18:28:48+00:00,1018,,0,1264,1159,0
10061,119186,5003,2017-07-27T18:42:57+00:00,1018,,0,1081,988,0
10062,119186,5003,2017-07-27T20:49:53+00:00,1021,,1,3203,2521,0
10063,119186,5003,2017-07-30T23:43:39+00:00,1022,10062,0,170,141,0
10064,119186,5003,2017-07-27T20:57:38+00:00,1019,,2,1920,1441,0
10065,119186,5003,2017-07-30T23:42:52+00:00,1022,10064,0,214,163,0
10066,119186,5003,2017-08-07T00:36:31+00:00,1023,10064,0,194,132,0
10067,119186,5003,2017-07-27T23:38:42+00:00,1022,,1,937,775,0
10068,119186,5003,2017-08-07T00:38:11+00:00,1023,10067,0,444,345,0
10069,119186,5003,2017-07-27T23:44:15+00:00,1022,,2,1634,996,1
10070,119186,5003,2017-07-28T15:06:33+00:00,1021,10069,0,245,197,0
10071,119186,5003,2017-07-31T02:13:53+00:00,1024,10069,0,223,123,0
10072,119186,5003,2017-07-28T00:04:00+00:00,1023,,3,1340,1163,0
10073,119186,5003,2017-07-28T15:10:57+00:00,1021,10072,0,229,186,0
10074,119186,5003,2017-07-30T23:47:54+00:00,1022,10072,0,181,143,0
10075,119186,5003,2017-07-31T02:11:21+00:00,1024,10072,0,261,166,0
10076,119186,5003,2017-07-28T00:06:11+00:00,1023,,1,1092,909,0
10077,119186,5003,2017-07-28T15:34:03+00:00,1019,10076,0,349,245,0
10078,119186,5003,2017-07-28T01:02:18+00:00,1025,,0,314,273,0
10079,119186,5003,2017-07-28T01:58:47+00:00,1024,,1,777,608,0
10080,119186,5003,2017-07-28T15:31:36+00:00,1019,10079,0,248,167,0
10081,119186,5003,2017-07-28T02:17:17+00:00,1024,,3,1301,1188,0
10082,119186,5003,2017-07-28T15:12:23+00:00,1021,10081,0,211,192,0
10083,119186,5003,2017-07-30T23:46:44+00:00,1022,10081,0,335,232,0
10084,119186,5003,2017-08-07T00:40:11+00:00,1023,10081,0,273,251,0
10085,119186,5003,2017-07-31T00:35:06+00:00,1025,,0,693,612,0
10086,119186,5004,2017-07-26T22:40:50+00:00,1026,,1,499,452,0
10087,119186,5004,2017-07-27T23:45:33+00:00,1027,10086,1,224,147,0
10088,119186,5004,2017-08-03T11:31:42+00:00,1028,10087,0,155,67,0
10089,119186,5004,2017-07-26T22:49:11+00:00,1026,,0,535,465,0
10090,119186,5004,2017-07-27T19:17:32+00:00,1029,,1,536,491,0
10091,119186,5004,2017-07-28T01:35:14+00:00,1030,10090,0,43,23,0
10092,119186,5004,2017-07-27T19:34:59+00:00,1029,,1,487,381,0
10093,119186,5004,2017-07-27T23:47:27+00:00,1027,10092,0,222,116,0
10094,119186,5004,2017-07-27T22:04:12+00:00,1027,,1,664,567,0
10095,119186,5004,2017-07-28T01:36:26+00:00,1030,10094,0,248,146,0
10096,119186,5004,2017-07-27T23:16:14+00:00,1031,,1,975,873,0
10097,119186,5004,2017-08-06T14:29:21+00:00,1029,10096,0,245,188,0
10098,119186,5004,2017-07-27T23:19:15+00:00,1027,,1,374,309,0
10099,119186,5004,2017-07-28T02:57:18+00:00,1032,10098,0,139,112,0
10100,119186,5004,2017-07-27T23:43:35+00:00,1031,,0,945,849,0
10101,119186,5004,2017-07-28T00:53:09+00:00,1030,,1,1074,956,0
10102,119186,5004,2017-07-28T01:27:43+00:00,1033,10101,1,432,388,0
10103,119186,5004,2017-08-03T16:59:08+00:00,1031,10102,0,519,417,0
10104,119186,5004,2017-07-28T01:08:56+00:00,1028,,0,577,525,0
10105,119186,5004,2017-07-28T01:14:26+00:00,1030,,0,1916,1474,0
10106,119186,5004,2017-07-28T01:21:00+00:00,1033,,2,1342,1299,0
10107,119186,5004,2017-07-28T01:24:53+00:00,1033,10106,0,583,541,0
10108,119186,5004,2017-08-06T14:31:29+00:00,1029,10106,0,236,136,0
10109,119186,5004,2017-07-28T01:24:24+00:00,1028,,1,558,447,0
10110,119186,5004,2017-08-06T14:24:38+00:00,1029,10109,0,249,159,0
10111,119186,5004,2017-07-28T02:32:08+00:00,1032,,0,706,605,0
10112,119186,5004,2017-07-28T02:37:36+00:00,1032,,1,345,285,0
10113,119186,5004,2017-08-03T11:33:18+00:00,1028,10112,0,130,83,0
10114,119187,5001,2017-08-03T22:20:55+00:00,1003,,0,1405,1313,0
10115,119187,5001,2017-08-03T23:10:00+00:00,1003,,0,1228,1170,0
10116,119187,5001,2017-08-04T00:08:29+00:00,1002,,1,1110,1004,0
10117,119187,5001,2017-08-07T21:41:35+00:00,1003,10116,0,272,182,0
10118,119187,5001,2017-08-04T00:17:06+00:00,1004,,0,2515,2385,0
10119,119187,5001,2017-08-04T00:18:57+00:00,1004,,1,1321,1250,0
10120,119187,5001,2017-08-06T18:17:45+00:00,1001,10119,0,461,390,0
10121,119187,5001,2017-08-04T00:51:25+00:00,1002,,1,852,741,0
10122,119187,5001,2017-08-07T21:38:44+00:00,1003,10121,1,244,141,0
10123,119187,5001,2017-08-13T17:56:35+00:00,1002,10122,0,325,255,0
10124,119187,5001,2017-08-04T01:02:43+00:00,1007,,0,2954,2755,0
10125,119187,5001,2017-08-04T01:03:39+00:00,1007,,1,2080,1970,0
10126,119187,5001,2017-08-04T21:43:02+00:00,1004,10125,0,458,433,0
10127,119187,5001,2017-08-04T01:05:24+00:00,1008,,2,2371,2143,0
10128,119187,5001,2017-08-04T01:52:46+00:00,1008,10127,1,752,658,0
10130,119187,5001,2017-08-04T21:55:18+00:00,1004,10128,0,597,553,0
10129,119187,5001,2017-08-06T18:42:42+00:00,1001,10127,0,493,423,0
10131,119187,5001,2017-08-04T02:17:37+00:00,1005,,1,535,502,0
10132,119187,5001,2017-08-06T18:45:06+00:00,1001,10131,0,97,38,0
10133,119187,5001,2017-08-04T02:36:36+00:00,1005,,0,1866,1188,2
